Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
147,Chris Boucher\bouchch01,C,28,TOR,31,1,23.3,4.7,8.9,.529,1.6,3.6,.451,3.1,5.3,.583,.621,2.3,3.0,.755,1.9,4.6,6.6,1.1,0.5,2.0,0.7,2.7,13.4
148,Desmond Bane\banede01,SG,22,MEM,23,3,23.0,3.7,7.8,.472,1.9,4.2,.458,1.8,3.7,.488,.594,0.7,0.9,.850,0.4,2.3,2.7,1.5,0.7,0.1,1.1,1.7,10.0
149,Tristan Thompson\thomptr01,PF,29,BOS,28,23,23.0,3.1,5.8,.534,0.0,0.1,.000,3.1,5.8,.540,.534,1.4,2.2,.613,2.9,5.4,8.2,0.9,0.4,0.4,0.9,2.2,7.6
150,Tyus Jones\jonesty01,PG,24,MEM,27,8,22.9,3.3,7.9,.421,0.7,2.7,.247,2.7,5.2,.511,.463,0.6,0.7,.842,0.6,2.0,2.6,5.0,1.3,0.1,0.9,0.5,7.9
151,Wayne Ellington\ellinwa01,SG,33,DET,23,20,22.8,3.5,7.9,.445,2.6,6.1,.421,1.0,1.8,.524,.607,0.7,0.9,.714,0.3,1.5,1.8,1.4,0.4,0.2,0.6,1.6,10.3
152,Deni Avdija\avdijde01,SF,20,WAS,24,16,22.4,2.5,5.8,.435,1.2,3.3,.367,1.3,2.5,.525,.540,0.5,0.8,.579,0.5,4.5,5.0,1.5,0.8,0.2,0.8,2.7,6.7
153,Lou Williams\willilo02,PG,34,LAC,30,3,22.4,4.4,10.5,.421,1.1,2.8,.376,3.4,7.7,.437,.472,2.4,2.8,.857,0.4,2.0,2.4,3.8,0.8,0.1,1.5,1.0,12.3
154,Jakob Poeltl\poeltja01,C,25,SAS,27,9,22.2,3.0,4.9,.611,0.0,0.0,,3.0,4.9,.611,.611,0.4,1.4,.316,3.0,4.0,7.0,1.7,0.6,1.5,1.1,2.1,6.4
155,Bismack Biyombo\biyombi01,C,28,CHO,28,16,22.1,2.5,4.4,.574,0.0,0.0,.000,2.5,4.3,.579,.574,0.8,1.7,.447,2.1,3.5,5.5,1.4,0.3,1.1,0.9,2.5,5.8
156,Rudy Gay\gayru01,PF,34,SAS,26,0,22.0,4.2,9.9,.419,1.6,4.3,.366,2.6,5.6,.459,.498,1.3,1.7,.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
157,DeAndre Jordan\jordade01,C,32,BRK,30,22,22.0,3.3,4.1,.797,0.0,0.0,,3.3,4.1,.797,.797,0.8,1.6,.521,1.7,5.4,7.2,1.8,0.4,1.4,1.6,2.2,7.4
158,Luke Kennard\kennalu01,SG,24,LAC,29,7,22.0,3.0,6.5,.463,1.6,3.6,.442,1.4,2.9,.488,.585,0.4,0.5,.867,0.3,2.6,2.9,1.8,0.3,0.2,0.9,1.6,8.0
159,Taurean Prince\princta02,PF,26,TOT,27,10,21.9,2.8,7.2,.392,1.4,3.5,.400,1.4,3.7,.384,.490,1.7,2.0,.849,0.4,3.2,3.6,1.7,0.7,0.7,1.1,1.9,8.7
160,Sterling Brown\brownst02,SG,25,HOU,27,1,21.6,2.9,6.3,.462,1.6,3.8,.431,1.3,2.5,.507,.592,0.4,0.4,.909,0.7,3.1,3.9,1.8,0.9,0.3,0.7,2.0,7.8
161,Bobby Portis\portibo01,C,25,MIL,31,1,21.6,4.7,8.7,.544,1.1,2.1,.500,3.7,6.6,.559,.606,0.6,0.9,.655,2.0,5.3,7.3,1.1,0.8,0.4,0.8,1.9,11.2
162,James Ennis\ennisja01,SF,30,ORL,22,21,21.5,2.5,5.0,.486,0.9,2.0,.442,1.6,3.1,.515,.572,1.3,1.6,.800,1.1,2.8,3.9,1.4,0.9,0.3,0.9,2.2,7.0
163,Andre Iguodala\iguodan01,SF,37,MIA,29,2,21.5,1.6,4.2,.377,1.0,3.2,.323,0.6,1.0,.552,.500,0.2,0.4,.455,0.5,3.1,3.6,2.3,1.1,0.5,1.1,1.5,4.4
164,Khem Birch\birchkh01,C,28,ORL,31,1,21.2,2.3,4.6,.507,0.1,0.4,.250,2.2,4.2,.531,.518,1.5,2.1,.738,2.6,3.0,5.7,1.1,0.6,0.8,0.6,1.6,6.3
165,Wesley Matthews\matthwe02,SG,34,LAL,25,4,21.2,1.6,4.3,.383,1.2,3.4,.353,0.4,0.9,.500,.523,0.5,0.6,.800,0.4,1.2,1.6,1.2,0.5,0.4,0.4,1.5,5.0
166,Naz Reid\reidna01,C,21,MIN,29,13,21.2,4.7,9.0,.519,1.0,2.7,.377,3.7,6.4,.578,.574,1.8,2.4,.739,1.3,3.7,4.9,1.3,0.6,1.2,1.1,3.1,12.1
167,Saddiq Bey\beysa01,SF,21,DET,28,11,21.1,3.0,7.3,.412,2.0,5.0,.407,1.0,2.3,.422,.551,1.4,1.7,.833,0.4,3.4,3.8,1.0,0.5,0.0,0.8,1.5,9.5
168,Payton Pritchard\pritcpa01,SG,23,BOS,24,1,21.1,2.8,6.2,.456,1.3,3.5,.381,1.5,2.7,.554,.564,0.5,0.5,.923,0.5,1.8,2.3,2.3,0.6,0.2,1.3,1.9,7.5
169,Gary Clark\clarkga01,SF,26,ORL,26,11,21.0,1.2,3.9,.294,0.9,3.3,.264,0.3,0.6,.467,.407,0.2,0.3,.857,1.1,2.5,3.6,0.9,0.4,0.2,0.6,1.1,3.4
170,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,22,7,21.0,3.4,6.3,.532,0.4,1.5,.281,3.0,4.9,.607,.565,0.7,0.9,.789,1.6,3.2,4.9,1.5,1.0,0.6,0.9,2.3,7.8
171,Isaiah Roby\robyis01,PF,22,OKC,25,10,20.6,3.3,6.1,.546,0.6,1.6,.375,2.7,4.5,.607,.595,1.3,1.8,.717,1.6,3.6,5.2,1.6,0.6,0.6,1.0,2.6,8.6
172,JaMychal Green\greenja01,PF,30,DEN,25,4,20.5,3.2,7.2,.444,1.6,3.8,.427,1.6,3.4,.464,.558,1.1,1.3,.844,1.6,4.4,6.0,1.0,0.6,0.3,1.0,2.7,9.1
173,Marc Gasol\gasolma01,C,36,LAL,32,32,20.3,1.4,3.6,.397,0.8,2.3,.361,0.6,1.4,.455,.509,0.8,1.0,.806,0.8,3.5,4.2,2.0,0.5,1.3,0.9,2.4,4.5
174,Cory Joseph\josepco01,PG,29,SAC,30,2,20.3,2.5,5.5,.461,0.7,2.0,.339,1.9,3.5,.528,.521,0.8,1.1,.758,0.5,1.8,2.3,2.4,0.8,0.2,1.0,2.2,6.6
175,DeMarcus Cousins\couside01,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
176,Damyean Dotson\dotsoda01,SG,26,CLE,26,6,20.2,2.8,7.0,.407,1.0,3.7,.278,1.8,3.3,.553,.481,0.7,1.0,.692,0.2,1.6,1.7,2.3,0.4,0.2,0.8,0.9,7.4
177,Robin Lopez\lopezro01,C,32,WAS,28,9,20.1,3.2,5.5,.582,0.1,0.4,.333,3.0,5.0,.603,.595,1.7,2.5,.686,2.3,2.1,4.4,1.0,0.3,0.6,1.1,1.9,8.2
178,Pat Connaughton\connapa01,SG,28,MIL,28,0,20.0,2.3,5.1,.444,1.3,3.4,.389,0.9,1.7,.553,.574,0.4,0.5,.800,0.9,3.0,3.9,1.4,0.7,0.5,0.3,1.5,6.3
179,Reggie Jackson\jacksre01,SG,30,LAC,29,14,20.0,3.0,7.0,.431,1.1,3.2,.355,1.9,3.8,.495,.512,1.0,1.3,.744,0.3,2.2,2.5,3.1,0.6,0.1,0.9,1.8,8.1
180,Aaron Holiday\holidaa01,PG,24,IND,29,6,19.9,2.8,7.6,.370,1.1,3.2,.333,1.7,4.3,.397,.441,0.8,1.0,.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4
181,Bruce Brown\brownbr01,PG,24,BRK,28,15,19.7,2.9,5.2,.552,0.1,0.8,.174,2.7,4.4,.623,.566,0.9,1.3,.667,1.4,3.1,4.5,1.1,0.7,0.4,0.8,2.0,6.7
182,Denzel Valentine\valende01,SG,27,CHI,26,3,19.7,2.9,7.9,.371,1.7,4.9,.354,1.2,3.0,.397,.480,0.2,0.2,1.000,0.3,3.7,4.0,1.7,0.7,0.0,0.6,1.3,7.8
183,Alex Caruso\carusal01,PG,26,LAL,25,0,19.6,2.0,4.6,.435,0.9,2.3,.404,1.1,2.3,.466,.535,0.5,0.6,.857,0.6,2.0,2.5,2.4,1.1,0.2,1.2,1.7,5.4
184,Damion Lee\leeda03,SG,28,GSW,31,0,19.5,2.2,4.9,.454,1.5,3.8,.387,0.7,1.1,.697,.605,0.7,0.7,.913,0.4,3.0,3.5,1.5,0.6,0.1,0.5,1.6,6.6
185,Ivica Zubac\zubaciv01,C,23,LAC,32,1,19.5,3.2,4.7,.669,0.0,0.0,.000,3.2,4.7,.673,.669,2.0,2.4,.831,2.3,4.4,6.7,1.1,0.4,0.8,1.0,2.5,8.3
186,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,32,5,19.4,2.6,6.3,.411,1.6,4.1,.382,1.0,2.2,.465,.535,0.6,0.8,.750,0.5,1.8,2.4,1.3,0.7,0.2,0.7,1.8,7.3
187,Semi Ojeleye\ojelese01,PF,26,BOS,29,6,19.4,1.9,4.6,.418,1.2,3.3,.379,0.7,1.3,.513,.552,0.6,0.9,.720,0.6,2.4,3.0,0.8,0.3,0.0,0.4,1.3,5.7
188,Jaden McDaniels\mcdanja02,PF,20,MIN,25,1,19.3,2.0,5.2,.392,1.1,2.8,.380,1.0,2.4,.407,.496,0.4,0.8,.474,0.7,2.8,3.5,1.0,0.3,1.1,0.8,2.6,5.5
189,Nerlens Noel\noelne01,C,26,NYK,26,4,19.3,1.8,3.2,.561,0.0,0.1,.000,1.8,3.1,.575,.561,0.7,1.1,.643,1.8,3.7,5.5,0.5,0.9,1.9,1.0,2.4,4.2
190,Josh Okogie\okogijo01,SG,22,MIN,25,18,19.3,1.6,4.6,.336,0.4,2.0,.204,1.2,2.7,.433,.379,1.2,1.5,.763,0.9,1.6,2.5,1.1,0.8,0.6,0.7,1.9,4.7
191,Grant Williams\willigr01,PF,22,BOS,24,6,19.3,1.9,4.3,.451,0.9,2.2,.415,1.0,2.0,.490,.559,0.6,1.2,.517,1.0,2.0,3.0,1.0,0.5,0.4,1.0,3.0,5.4
192,Raul Neto\netora01,PG,28,WAS,23,6,19.2,3.0,6.7,.448,1.0,2.7,.355,2.0,4.0,.511,.519,0.8,1.0,.818,0.5,2.0,2.5,1.8,1.0,0.1,0.6,1.2,7.7
193,Aron Baynes\baynear01,C,34,TOR,28,24,19.1,2.4,5.8,.410,0.4,2.1,.203,1.9,3.6,.529,.447,0.4,0.5,.733,1.5,3.9,5.4,1.0,0.3,0.3,0.9,2.6,5.5
194,Immanuel Quickley\quickim01,PG,21,NYK,27,0,19.0,3.8,9.7,.391,1.7,4.5,.369,2.1,5.1,.410,.477,2.9,3.1,.929,0.4,1.9,2.3,2.6,0.4,0.3,0.9,2.1,12.1
195,Landry Shamet\shamela01,SG,23,BRK,28,0,19.0,2.3,6.3,.371,1.6,4.6,.344,0.8,1.7,.447,.497,1.1,1.3,.886,0.2,1.4,1.5,1.3,0.5,0.1,0.8,1.3,7.3
196,Jarred Vanderbilt\vandeja01,PF,21,MIN,29,12,19.0,2.4,4.1,.597,0.0,0.1,.500,2.4,4.0,.598,.601,0.9,1.8,.510,1.8,4.0,5.8,1.7,1.1,0.7,1.0,2.2,5.8
197,Bryn Forbes\forbebr01,SG,27,MIL,31,6,18.9,3.5,7.4,.474,2.1,4.5,.464,1.4,2.9,.489,.614,0.5,0.7,.696,0.2,1.1,1.3,0.5,0.3,0.0,0.6,1.2,9.5
198,Rodney Hood\hoodro01,SF,28,POR,25,5,18.9,2.1,5.6,.371,0.6,2.1,.288,1.5,3.5,.420,.425,0.2,0.3,.625,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5.0
199,Mike Muscala\muscami01,C,29,OKC,29,0,18.9,3.4,7.8,.438,2.0,5.5,.365,1.4,2.3,.612,.566,1.1,1.2,.914,0.6,3.2,3.8,0.9,0.2,0.3,0.7,1.5,9.9
200,D.J. Augustin\augusdj01,PG,33,MIL,30,2,18.8,1.8,5.5,.335,1.3,3.6,.355,0.6,1.9,.298,.451,1.1,1.3,.895,0.4,0.9,1.3,3.1,0.5,0.0,0.9,0.8,6.1
201,Solomon Hill\hillso01,PF,29,ATL,30,1,18.8,1.5,4.2,.365,1.0,3.1,.323,0.5,1.1,.485,.484,0.4,0.5,.867,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.5
202,Kenrich Williams\willike04,PF,26,OKC,31,6,18.5,2.4,4.4,.533,0.5,1.3,.400,1.8,3.1,.588,.591,0.4,0.7,.619,1.4,2.6,4.0,1.7,0.8,0.2,0.8,1.7,5.6
203,James Johnson\johnsja01,PF,33,DAL,23,0,18.4,2.6,5.3,.488,0.6,2.2,.280,2.0,3.2,.630,.545,0.6,1.0,.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4
204,Matisse Thybulle\thybuma01,SG,23,PHI,28,2,18.3,1.2,3.1,.379,0.5,2.0,.273,0.6,1.1,.563,.466,0.2,0.4,.500,0.3,1.0,1.4,0.9,1.5,0.9,0.4,2.1,3.1
205,Anfernee Simons\simonan01,SG,21,POR,27,0,18.1,3.0,7.5,.396,2.2,5.3,.410,0.8,2.1,.362,.542,0.8,1.0,.846,0.2,2.3,2.5,1.2,0.2,0.2,0.8,1.7,8.9
206,Gorgui Dieng\dienggo01,C,31,MEM,20,1,18.0,2.7,5.1,.525,1.1,2.2,.488,1.6,2.9,.552,.629,1.7,2.0,.872,1.4,3.4,4.8,1.4,0.9,0.7,1.1,1.9,8.1
207,J.J. Redick\redicjj01,SG,36,NOP,27,0,18.0,2.5,6.5,.381,1.6,4.6,.358,0.9,2.0,.434,.506,1.4,1.4,.974,0.1,1.4,1.5,1.1,0.3,0.1,0.8,1.3,8.0
208,Nickeil Alexander-Walker\alexani01,SG,22,NOP,25,3,17.9,3.2,7.7,.411,1.0,3.5,.273,2.2,4.2,.529,.474,1.0,1.3,.788,0.2,2.3,2.5,1.8,1.0,0.3,1.2,1.7,8.3
209,Eric Paschall\pascher01,PF,24,GSW,28,2,17.9,3.9,7.7,.505,0.4,1.3,.333,3.5,6.4,.539,.532,1.9,2.5,.732,0.9,2.6,3.4,1.4,0.2,0.1,0.8,1.7,10.1
210,Isaiah Stewart\stewais01,C,19,DET,28,2,17.9,2.2,4.3,.513,0.0,0.2,.200,2.1,4.1,.526,.517,0.8,1.1,.700,2.6,2.9,5.5,0.7,0.5,1.0,0.8,2.6,5.1
211,Willie Cauley-Stein\caulewi01,C,27,DAL,27,10,17.6,2.3,3.8,.618,0.0,0.2,.200,2.3,3.6,.639,.623,1.1,1.7,.652,1.3,3.4,4.7,0.7,0.4,0.7,0.6,2.5,5.8
212,Jeff Teague\teaguje01,PG,32,BOS,23,3,17.3,1.8,5.7,.323,0.7,1.7,.421,1.1,4.0,.283,.385,1.2,1.3,.900,0.3,1.3,1.6,2.0,0.9,0.1,1.1,1.0,5.5
213,Devin Vassell\vassede01,SF,20,SAS,26,1,17.3,1.9,4.8,.397,1.0,2.4,.397,1.0,2.4,.397,.496,0.7,0.8,.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
214,Trey Burke\burketr01,PG,28,DAL,28,0,17.0,2.8,6.4,.441,1.3,3.3,.391,1.5,3.1,.494,.542,0.8,1.0,.852,0.1,0.9,1.1,1.5,0.8,0.1,0.6,1.4,7.8
215,Talen Horton-Tucker\hortota01,SG,20,LAL,28,0,17.0,2.7,5.9,.452,0.5,1.8,.286,2.2,4.2,.521,.494,0.9,1.1,.813,0.3,2.0,2.3,1.9,0.8,0.6,1.3,2.0,6.8
216,Tyrese Maxey\maxeyty01,SG,20,PHI,29,6,16.9,3.7,8.2,.447,0.5,1.9,.278,3.1,6.3,.497,.479,0.8,0.9,.880,0.3,1.7,1.9,1.8,0.5,0.1,0.7,1.2,8.6
217,Kent Bazemore\bazemke01,SF,31,GSW,29,0,16.7,2.4,4.8,.500,1.0,2.3,.439,1.4,2.6,.554,.604,0.8,1.0,.800,0.4,2.7,3.2,1.7,0.8,0.6,1.1,2.1,6.7
218,Brad Wanamaker\wanambr01,PG,31,GSW,31,0,16.5,1.5,4.4,.348,0.4,1.6,.235,1.1,2.7,.417,.393,1.4,1.5,.875,0.3,1.6,1.9,2.7,0.8,0.1,0.9,1.5,4.8
219,Derrick Favors\favorde01,C,29,UTA,29,0,16.4,2.4,3.9,.619,0.0,0.0,.000,2.4,3.9,.625,.619,1.3,1.7,.813,1.9,3.6,5.6,0.9,0.6,1.0,0.6,2.5,6.2
220,Dwight Howard\howardw01,C,35,PHI,31,4,16.3,2.1,3.8,.559,0.1,0.3,.375,2.0,3.5,.573,.572,1.5,2.9,.522,2.7,5.0,7.7,0.6,0.4,0.8,1.7,3.0,5.9
221,Kevin Knox\knoxke01,SF,21,NYK,23,0,16.2,1.9,4.9,.389,1.1,2.9,.379,0.8,2.0,.404,.500,0.4,0.5,.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3
222,Garrison Mathews\mathega01,SG,24,WAS,22,6,16.0,1.9,4.6,.406,1.5,3.7,.395,0.4,0.9,.450,.564,1.8,2.0,.907,0.4,1.2,1.5,0.5,0.8,0.2,0.2,1.6,7.0
223,Glenn Robinson III\robingl02,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
224,Caleb Martin\martica02,SF,25,CHO,23,1,15.8,2.2,5.2,.420,0.7,2.2,.300,1.5,3.0,.507,.483,0.6,1.1,.560,0.8,2.0,2.8,1.3,0.9,0.3,0.7,1.1,5.6
225,Frank Kaminsky\kaminfr01,C,27,PHO,23,9,15.7,2.7,5.8,.455,1.0,2.3,.434,1.7,3.5,.469,.541,0.6,1.1,.560,0.8,3.2,4.0,1.8,0.3,0.4,0.5,1.5,6.9
226,DeAndre' Bembry\bembrde01,SF,26,TOR,22,3,15.6,1.9,3.2,.600,0.4,0.9,.421,1.5,2.3,.667,.657,0.3,0.6,.538,0.5,1.4,1.9,1.7,0.5,0.3,0.8,1.4,4.5
227,Markieff Morris\morrima02,PF,31,LAL,26,2,15.5,1.5,4.0,.379,0.8,2.6,.309,0.7,1.3,.514,.481,0.6,0.8,.750,0.5,2.7,3.3,0.8,0.2,0.2,0.5,1.6,4.4
228,Sviatoslav Mykhailiuk\mykhasv01,SF,23,DET,29,0,15.4,2.1,5.7,.372,1.4,4.3,.323,0.7,1.4,.525,.494,0.7,0.8,.875,0.3,1.6,1.9,1.2,0.6,0.2,0.7,0.9,6.3
229,Robert Williams\williro04,C,23,BOS,23,0,15.4,2.9,4.0,.725,0.0,0.0,.000,2.9,3.9,.733,.725,0.7,1.0,.667,2.4,3.3,5.7,0.8,1.0,1.4,1.0,1.8,6.4
230,Terance Mann\mannte01,SG,24,LAC,29,3,15.1,1.6,3.4,.465,0.3,0.9,.296,1.3,2.5,.528,.505,0.8,1.1,.750,0.9,2.3,3.2,1.1,0.4,0.2,0.7,1.6,4.3
231,JaVale McGee\mcgeeja01,C,33,CLE,22,1,15.1,3.1,6.6,.466,0.2,0.7,.313,2.9,5.9,.485,.483,1.2,2.0,.591,1.7,3.7,5.4,1.0,0.5,1.1,1.2,2.3,7.6
232,Facundo Campazzo\campafa01,PG,29,DEN,27,1,15.0,1.7,4.0,.417,1.1,2.7,.405,0.6,1.3,.441,.556,1.0,1.3,.800,0.2,0.7,0.9,2.0,0.9,0.1,0.8,1.9,5.5
233,Ben McLemore\mclembe01,SG,27,HOU,21,2,15.0,2.0,5.7,.358,1.3,4.2,.318,0.7,1.5,.469,.475,0.6,0.9,.722,0.3,1.8,2.1,1.0,0.6,0.0,1.0,1.2,6.0
234,Hassan Whiteside\whiteha01,C,31,SAC,23,1,14.6,3.5,6.0,.580,0.0,0.0,.000,3.5,6.0,.584,.580,1.3,2.4,.545,1.6,4.2,5.7,0.5,0.3,1.3,1.0,1.8,8.3
235,Precious Achiuwa\achiupr01,PF,21,MIA,31,2,14.2,2.4,4.2,.573,0.0,0.0,,2.4,4.2,.573,.573,1.2,2.3,.529,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.8,6.0
236,Terence Davis\daviste02,SG,23,TOR,25,2,13.7,2.5,5.7,.437,1.3,3.4,.393,1.2,2.3,.500,.553,0.4,0.5,.917,0.2,1.5,1.8,1.0,0.6,0.1,0.8,1.6,6.7
237,Alex Len\lenal01,C,27,TOT,22,6,13.7,2.1,3.4,.627,0.3,0.9,.316,1.9,2.5,.732,.667,0.9,1.5,.588,0.6,2.5,3.1,1.0,0.4,1.1,1.1,1.8,5.5
238,Stanley Johnson\johnsst04,PF,24,TOR,28,1,13.6,0.9,2.3,.406,0.6,1.4,.410,0.4,0.9,.400,.531,0.4,0.5,.786,0.5,1.8,2.3,1.3,0.8,0.3,0.7,1.6,2.8
239,Daniel Gafford\gaffoda01,PF,22,CHI,25,11,13.5,2.0,3.0,.662,0.0,0.0,,2.0,3.0,.662,.662,1.0,1.5,.676,1.3,1.8,3.1,0.6,0.4,1.2,0.8,1.9,4.9
240,Georges Niang\niangge01,PF,27,UTA,31,0,13.1,1.9,4.6,.417,1.2,3.3,.366,0.7,1.4,.535,.545,0.2,0.2,1.000,0.4,1.9,2.3,0.7,0.4,0.1,0.7,1.5,5.2
241,Sekou Doumbouya\doumbse01,PF,20,DET,26,1,13.0,1.5,4.3,.351,0.5,1.7,.273,1.0,2.6,.403,.405,0.7,0.9,.739,0.6,1.9,2.5,0.5,0.4,0.1,0.6,1.5,4.1
242,Brandon Goodwin\goodwbr01,PG,25,ATL,23,0,12.4,1.4,4.5,.320,0.6,2.3,.269,0.8,2.2,.373,.388,0.7,1.0,.708,0.1,1.0,1.2,1.9,0.4,0.0,0.5,1.0,4.2
243,Jaxson Hayes\hayesja02,C,20,NOP,23,1,12.1,1.7,2.5,.655,0.0,0.0,,1.7,2.5,.655,.655,0.8,1.2,.679,1.2,2.3,3.5,0.4,0.3,0.3,0.7,1.9,4.1
244,Harry Giles\gilesha01,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
245,Mychal Mulder\muldemy01,PG,26,GSW,30,2,11.1,1.5,3.2,.463,1.2,2.7,.427,0.3,0.4,.692,.647,0.3,0.4,.615,0.0,1.0,1.0,0.5,0.2,0.2,0.3,0.9,4.4
246,Jevon Carter\carteje01,PG,25,PHO,26,0,10.5,1.0,3.0,.351,0.6,2.0,.302,0.4,0.9,.458,.455,0.1,0.1,1.000,0.1,1.3,1.4,1.3,0.4,0.3,0.2,1.2,2.8
247,Langston Galloway\gallola01,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
248,R.J. Hampton\hamptrj01,PG,19,DEN,23,0,9.2,1.0,2.3,.415,0.2,0.8,.278,0.7,1.5,.486,.462,0.2,0.3,.625,0.4,1.5,1.9,0.5,0.2,0.1,0.5,0.9,2.3
249,Dean Wade\wadede01,PF,24,CLE,23,0,8.3,0.7,2.1,.347,0.5,1.4,.333,0.3,0.7,.375,.459,0.2,0.2,.800,0.3,0.9,1.3,0.4,0.2,0.1,0.4,0.7,2.1
250,Miye Oni\onimi01,SG,23,UTA,24,0,7.8,0.4,1.3,.323,0.4,1.1,.346,0.0,0.2,.200,.468,0.2,0.3,.833,0.5,1.2,1.7,0.3,0.1,0.2,0.3,1.1,1.4
