Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
56,Deandre Ayton\aytonde01,C,22,PHO,30,30,31.7,6.1,10.2,.593,0.1,0.5,.250,5.9,9.7,.612,.599,1.7,2.3,.725,3.5,8.4,11.9,1.8,0.3,1.1,2.0,3.2,13.9
57,Kevin Huerter\huertke01,SG,22,ATL,30,19,31.7,4.5,10.5,.425,2.1,5.7,.376,2.3,4.8,.483,.527,0.6,0.8,.792,0.7,2.9,3.6,3.7,1.1,0.2,1.3,2.4,11.7
58,John Collins\collijo01,PF,23,ATL,30,30,31.5,6.9,13.0,.531,1.3,3.4,.379,5.6,9.6,.585,.581,2.5,3.0,.854,2.2,5.4,7.5,1.6,0.5,1.0,1.4,3.3,17.6
59,Lonzo Ball\balllo01,PG,23,NOP,27,27,31.4,5.2,12.1,.427,3.0,7.7,.391,2.2,4.5,.488,.550,1.0,1.3,.743,0.6,3.7,4.3,5.0,1.3,0.5,2.1,2.5,14.3
60,Robert Covington\covinro01,PF,30,POR,28,28,31.3,2.7,7.2,.373,1.7,5.0,.340,1.0,2.1,.450,.493,0.6,0.7,.850,0.9,5.4,6.3,1.8,1.6,1.1,1.1,2.6,7.7
61,Myles Turner\turnemy01,C,24,IND,27,27,31.2,4.7,9.4,.498,1.4,4.4,.325,3.2,4.9,.654,.575,2.4,3.1,.776,1.3,5.3,6.6,1.0,1.1,3.5,1.4,3.6,13.2
62,Joe Harris\harrijo01,SF,29,BRK,32,28,31.1,5.5,10.5,.528,3.3,6.7,.502,2.2,3.8,.574,.688,0.6,0.8,.704,0.6,2.9,3.5,1.8,0.6,0.2,0.8,2.3,15.0
63,Dennis Schröder\schrode01,SG,27,LAL,29,29,31.1,5.1,11.5,.441,1.0,3.1,.311,4.1,8.4,.490,.483,3.1,3.8,.820,0.6,3.0,3.6,4.3,0.9,0.2,2.2,2.7,14.2
64,Darius Bazley\bazleda01,PF,20,OKC,31,31,30.8,4.4,11.2,.393,1.5,5.1,.299,2.9,6.1,.471,.461,1.5,1.9,.767,0.5,6.7,7.2,1.7,0.5,0.6,1.7,1.0,11.8
65,Bojan Bogdanović\bogdabo02,SF,31,UTA,31,31,30.7,5.1,11.9,.427,2.5,6.5,.390,2.6,5.5,.471,.532,2.6,3.1,.844,0.5,3.4,3.9,2.1,0.4,0.1,1.6,1.6,15.3
66,Gary Trent Jr.\trentga02,SG,22,POR,28,15,30.7,5.5,12.8,.426,3.3,7.5,.431,2.2,5.3,.419,.553,1.0,1.4,.744,0.6,1.6,2.1,1.4,0.7,0.2,0.7,1.5,15.2
67,Tim Hardaway Jr.\hardati02,SG,28,DAL,28,17,30.5,6.0,13.4,.447,3.2,7.9,.405,2.8,5.4,.507,.567,2.0,2.5,.786,0.2,3.0,3.2,1.5,0.6,0.1,0.9,1.6,17.1
68,Dejounte Murray\murrade01,PG,24,SAS,27,27,30.4,6.2,13.9,.447,1.0,3.3,.315,5.1,10.6,.488,.484,1.7,2.1,.810,0.6,6.6,7.2,5.0,1.6,0.1,1.7,2.1,15.1
69,Rudy Gobert\goberru01,C,28,UTA,31,31,30.3,5.3,8.3,.640,0.0,0.0,.000,5.3,8.3,.642,.640,3.3,5.5,.591,3.5,9.9,13.5,1.3,0.4,2.8,1.7,2.3,13.9
70,Keldon Johnson\johnske04,SF,21,SAS,27,27,30.1,5.3,11.4,.468,1.0,3.0,.325,4.4,8.4,.518,.510,2.9,3.7,.778,1.7,5.2,7.0,2.3,0.8,0.5,1.5,2.3,14.5
71,Rui Hachimura\hachiru01,PF,22,WAS,21,21,30.0,4.8,10.3,.463,0.8,2.6,.296,4.0,7.7,.519,.500,3.2,4.0,.788,1.1,4.4,5.5,1.8,0.8,0.1,1.0,2.3,13.5
72,Nicolas Batum\batumni01,SF,32,LAC,29,29,29.9,3.1,6.6,.476,2.0,4.5,.446,1.1,2.1,.541,.628,0.9,1.1,.813,1.0,3.9,4.9,2.2,1.3,0.4,0.7,1.6,9.2
73,Kelly Oubre Jr.\oubreke01,SF,25,GSW,31,31,29.9,5.5,13.1,.420,1.8,5.5,.324,3.7,7.6,.489,.488,2.2,3.1,.726,1.5,4.5,5.9,1.4,1.2,0.8,1.3,2.3,15.0
74,Will Barton\bartowi01,SF,30,DEN,27,23,29.8,4.4,10.0,.437,1.6,4.0,.411,2.7,6.0,.454,.519,1.2,1.7,.733,0.4,3.2,3.6,3.2,0.8,0.4,1.6,1.7,11.6
75,Luguentz Dort\dortlu01,SG,21,OKC,30,30,29.8,4.3,10.9,.398,1.9,5.9,.318,2.5,5.0,.490,.483,2.0,2.6,.747,0.7,2.8,3.5,1.5,0.9,0.3,1.5,2.5,12.5
